image_name,labels,transcriptions
1026.jpg,Not-Misogyny,今天是疯狂作业目 V我作业 看看实力 等你！
1412.jpg,Not-Misogyny,工作己完成 请查收
1586.jpg,Not-Misogyny,专心致志等过年 才是 正道
1105.jpg,Misogyny,操你妈逼
206.jpg,Misogyny,有些人自己结婚了 就开始催别人结婚 搞的我以为婚姻是什么传销组织 必须要发展下线
35.jpg,Not-Misogyny,早上：沙拉 中午：沙拉 晚上 能吃的都给我杀啦
776.jpg,Not-Misogyny,打游戏啦
509.jpg,Not-Misogyny,加油！
1452.jpg,Misogyny,穿衣不自由 表现：穿这么好看给谁看 谁让你穿这么暴露 苍蝇不叮无缝的蛋 渣男就喜欢你这样的
1479.jpg,Not-Misogyny,我记住了 就是你 就是你 就是你 你对我一点都不好
1674.jpg,Not-Misogyny,困
1391.jpg,Not-Misogyny,想睡觉却异常清醒
92.jpg,Not-Misogyny,周五摆烂 啥也不干
1364.jpg,Not-Misogyny,学习 很轻松哒
898.jpg,Misogyny,去你妈的
565.jpg,Misogyny,操你妈 王炸 你图废了
1370.jpg,Not-Misogyny,等我给您送上院士宝座
777.jpg,Not-Misogyny,能 可以做到的 可以 做到！！！ 我们 可以 做到的！！！
242.jpg,Not-Misogyny,如果领导掉水里了 你该怎么做？ 先走OA审批 不批不敢捞
14.jpg,Not-Misogyny,减一斤肉跟玩命似的 涨一斤肉跟玩似的？
316.jpg,Not-Misogyny,善解人意是什么东西 委屈我自己让你开心吗？
601.jpg,Misogyny,CNM
388.jpg,Not-Misogyny,微臣这就去办
1298.jpg,Not-Misogyny,鱼哭了水知道 我哭了谁知道
167.jpg,Misogyny,结了婚，生了孩子，你才能成为真正的女人！ 我现在是条狗吗？
841.jpg,Misogyny,怎么还不生孩子？ 有啊，3岁了
21.jpg,Not-Misogyny,喝中药调理不了我了 要喝农药才行了
647.jpg,Misogyny,父母：不结婚年纪大了 就更不容易了 我：有钱情绪稳定的大姐姐谁不喜欢
1509.jpg,Not-Misogyny,能走路 就是好腿！
1155.jpg,Not-Misogyny,我司雇我在
1529.jpg,Not-Misogyny,在上班，什么事
832.jpg,Misogyny,你不生孩子就是自私 你不自私你帮我生，生完再把养老保险给我交了。
1268.jpg,Not-Misogyny,客户问题解决了吗 你啰嗦了
1591.jpg,Not-Misogyny,说我不懂事 你不好骗
563.jpg,Misogyny,赶紧劝劝你媳妇多个孩子以后有个什么事还能商量 商量什么，商量以后氧气罐是老大拔还是老二拔吗
1657.jpg,Not-Misogyny,我不理解
687.jpg,Misogyny,我同学家的孩子跟你差不多大的都二胎了，都当奶奶了。。 那我从今天开始管你叫奶奶行嘛
958.jpg,Not-Misogyny,那还真是抱歉呢
190.jpg,Not-Misogyny,气成鼠片
976.jpg,Not-Misogyny,距离下班还有三分钟！ 预备备！！
700.jpg,Not-Misogyny,今天的女孩 明天的建設者
1500.jpg,Not-Misogyny,国庆结束，收收心 准备迎接过年
511.jpg,Not-Misogyny,出门打工
1083.jpg,Not-Misogyny,熬过星期五 人生我做主
475.jpg,Not-Misogyny,这是非常弱智的一些表现
1585.jpg,Not-Misogyny,黄老师 你给我炒点豆角吧 我不想活了
857.jpg,Misogyny,好的 你忙吧 我吃柠檬 NMB WCNM
748.jpg,Not-Misogyny,前途一片光明啊
253.jpg,Misogyny,再不结婚 你父母的脸都让你丢光了！
22.jpg,Not-Misogyny,不要做emo的傀儡 要做快乐的领头人
1338.jpg,Not-Misogyny,老婆老婆老婆 超级想老婆 赶快奔赴老婆身边
460.jpg,Not-Misogyny,新的一年 经济独立 家里人给点就花点 不给就要点
1185.jpg,Not-Misogyny,下班了 今天的苦就先吃到这里
277.jpg,Misogyny,cnm 真晦气
956.jpg,Not-Misogyny,小妞，想你
1216.jpg,Misogyny,别挑三拣四的，遇到好的先结婚，感情慢慢培养！ 吵架了可以先离婚 孩子和钱可以慢慢分
386.jpg,Misogyny,终于生了个儿子！ 总算凑足了罚金！ 超生 超生罚款
806.jpg,Misogyny,结婚那么好还用催吗？ 地上有钱我还不知道捡吗？
1438.jpg,Not-Misogyny,帅到你了 不用赔钱吧
1516.jpg,Not-Misogyny,伤害人 呜呜呜 你真有一套
344.jpg,Not-Misogyny,不媚男 不爱女 我就这样。 对男生 对女生 装啥呢大姐 我就这么刻薄的过一辈子
770.jpg,Misogyny,以前的婆婆 在外面吃饭多浪费 再生一个呀，我帮你带 生完一胎催二胎 过日子我省着点花
1333.jpg,Not-Misogyny,但是还是要装一下 这电脑是一个字也看不进去
131.jpg,Misogyny,"不生孩子死家里都没人发现 No one in the family would even notice if they didn't give birth or die 我不是古董发现了也没有价值 I'm not an antique,If I find it,it's not worth it"
872.jpg,Not-Misogyny,走亲戚就是一场 巨大的粉丝见面会 所有人都对我了如指掌 但我一个都不认识
1124.jpg,Misogyny,对情感中的投入义务 你可曾听过 对婚育的无形期待 年纪不小了，女生早点结婚才合适 你是女生，不考虑结婚生孩子吗？ 有了家庭就该围绕家人转 不结婚生子就不是女人 男生不够成熟，女生可以多包容些 女生适当柔和些，关系才能和谐 恋爱要多忍耐，别总想着换人 他工作压力大，你多体谅一下 看见不平等
1397.jpg,Misogyny,不结婚 你的罪名就只有不结婚
88.jpg,Not-Misogyny,我是装修师傅 请问您装什么
1483.jpg,Misogyny,伴娘为什么要未婚的 因为如果是已婚的 会劝你一晚上不要结婚
331.jpg,Misogyny,你们准备什么时候要孩子 儿孙自有儿孙福 没有儿孙我享福
1239.jpg,Not-Misogyny,女人！团结！ GIRLS POWER！
467.jpg,Not-Misogyny,OK你说
122.jpg,Not-Misogyny,节后再说 不在
1639.jpg,Not-Misogyny,别催，在做了
1045.jpg,Misogyny,有些人自己结婚了 就开始催别人结婚 搞的我以为婚姻是什么传销组织 必须要发展下线
1096.jpg,Not-Misogyny,查岗了~ 和谁一起 在哪里 在干嘛 发个视频给我瞅瞅
1131.jpg,Not-Misogyny,轻轻敲醒沉睡的心灵
1295.jpg,Not-Misogyny,我是女孩 我什么样女孩就是什么样 而不是该有个女孩样
861.jpg,Not-Misogyny,告到中央 我要告到中央! ！！
1460.jpg,Not-Misogyny,诶这是什么工作？ 投一下 诶这是什么工作？ 投一下 诶这是什么工作？ 投一下 诶这是什么工作？ 投一下
1127.jpg,Not-Misogyny,2025 新年快乐
